File name,Title,Author,Publication Year,Journal,Rank
sim45_12_129-140.pdf,,,2000,Studies in Mycology,1
sim45_13_141-148.pdf,,,2000,Studies in Mycology,1
sim45_14_169-186.pdf,,,2000,Studies in Mycology,1
sim45_15_187-199.pdf,,,2000,Studies in Mycology,1
sim45_16_201-207.pdf,,,2000,Studies in Mycology,1
sim45_17_209-222.pdf,,,2000,Studies in Mycology,1
sim45_18_afterword.pdf,,,2000,Studies in Mycology,1
sim45_Frisvad & Samson SIM 45 2000.pdf,,,2000,Studies in Mycology,1
sim46_part1_1_96.pdf," A monograph of Bionectria (Ascomycota, Hypocreales, Bionectriaceae) and its Clonostachys anamorphs", Hans-Josef Schroers,2001,Studies in Mycology,1
sim46_part2_97_206.pdf,,,2001,Studies in Mycology,1
sim46_part3_207-215.pdf,"Nectriella pironii and its Kutilakesa-like anamorph, a parasite of ornamen-tal shrubs. — Mycologia : –."," ALFIERI, S.A. & SAMUELS, G.J.",2001,Studies in Mycology,1
sim48_part1.pdf," Hypocrea/Trichoderma (Ascomycota, Hypocreales, Hypocreaceae): species with green ascospores", Priscila Chaverri and Gary J. Samuels,2003,Studies in Mycology,1
sim48_part2.pdf,,,2003,Studies in Mycology,1
sim48_part3.pdf,,,2003,Studies in Mycology,1
Sim49Article1.pdf, Polyphasic taxonomy of Penicillium subgenus Penicillium A guide to identification of food and air-borne terverticillate Penicillia and their mycotoxins, Jens C. Frisvad and Robert A. Samson,2004,Studies in Mycology 49: 1-174,1
Sim49Article3.pdf," Mycotoxins, drugs and other extrolites produced by species in Penicillium subgenus Penicillium"," Jens C. Frisvad, Jørn Smedsgaard, Thomas O. Larsen and Robert A. Samson",2004,Studies in Mycology 49: 201-241,1
Sim49Article4.pdf, Classification of Terverticillate Penicillia by Electrospray Mass Spectrometric Profiling," Jørn Smedsgaard, Michael Edberg Hansen and Jens C. Frisvad",2004,Studies in Mycology 49: 243-251,1
sim50_001-Centraalbureau_voor_Schimmelcultures_hundred_years_microbial_resource_centre.pdf, Centraalbureau voor Schimmelcultures: hundred years microbial resource centre," Robert A. Samson, Huub A. van der Aa and G. Sybren de Hoog",2004,Studies in Mycology 50:1–8,1
sim50_002-Fungal_diversity_and_its_implications_for_genetic_resource_collections.pdf, Fungal diversity and its implications for genetic resource collections, David L. Hawksworth,2004,Studies in Mycology 50:9–18,1
sim50_003-MycoBank_an_online_initiative_to_launch_mycology_into_the_21st_century.pdf, MycoBank: an online initiative to launch mycology into the 21st century," Pedro W. Crous, Walter Gams, Joost A. Stalpers, Vincent Robert and Gerrit Stegehuis",2004,Studies in Mycology 50:19–22,1
sim50_004-New_ochratoxin_A_producing_species_of_Aspergillus_section_Circumdati.pdf, New ochratoxin A producing species of Aspergillus section Circumdati," Jens C. Frisvad,J. Mick Frank, Jos A.M.P. Houbraken, Angelina F.A. Kuijpers and Robert A. Samson",2004,Studies in Mycology 50:23–43,1
sim50_006-Two_new_species_of_Sphaerodes_from_Spanish_soils.pdf, Two new species of Sphaerodes from Spanish soils," Dania García, Alberto M. Stchigel and Josep Guarro",2004,Studies in Mycology 50:63–68,1
"sim50_007-Metschnikowia_similis_sp._nov._and_Metschnikowia_colocasiae_sp._nov.,_two_ascomycetous_yeasts_isolated_from_Conotelus_spp._(Coleoptera_Nitidulidae)_in_Costa_Rica.pdf"," Metschnikowia similis sp. nov. and Metschnikowia colocasiae sp. nov., two ascomycetous yeasts isolated from Conotelus spp. (Coleoptera: Nitiduli-dae) in Costa Rica", Marc-André Lachance and Jane M. Bowles,2004,Studies in Mycology 50:69–76,1
sim50_008-A_new_species_of_Achaetomium_from_Indian_soil.pdf, A new species of Achaetomium from Indian soil," Kendra Rodríguez, Alberto M. Stchigel, José F. Cano and Josep Guarro∗",2004,Studies in Mycology 50:77–82,1
"sim50_009-Ramophialophora,_a_new_anamorphic_genus_of_Sordariales.pdf"," Ramophialophora, a new anamorphic genus of Sordariales"," Misericordia Calduch, Josepa Gené, Alberto M. Stchigel, José F. Cano and Josep Guarro",2004,Studies in Mycology 50:83–88,1
"sim50_010-Torrubiella_piperis_sp._nov._(Clavicipitaceae,_Hypocreales),_a_new_teleomorph_of_the_Lecanicillium_complex.pdf"," Torrubiella piperis sp. nov. (Clavicipitaceae, Hypocreales), a new teleo-morph of the Lecanicillium complex"," Joseph F. Bischoff, and James F. White, Jr.",2004,Studies in Mycology 50:89–94,1
"sim50_011-Conioscyphascus,_a_new_ascomycetous_genus_for_holomorphs_with_Conioscypha_anamorphs.pdf"," Conioscyphascus, a new ascomycetous genus for holomorphs with Conioscypha anamorphs", Martina Réblová and Keith A. Seifert,2004,Studies in Mycology 50:95–108,1
sim50_012-Novel_dematiaceous_hyphomycetes.pdf, Novel dematiaceous hyphomycetes, Emory G. Simmons,2004,Studies in Mycology 50:109–118,1
"sim50_013-Chrysoporthe,_a_new_genus_to_accommodate_Cryphonectria_cubensis.pdf"," Chrysoporthe, a new genusto accommodate Cryphonectria cubensis"," Marieka Gryzenhout, Henrietta Myburg, Nicolaas A. van der Merwe, Brenda D. Wingfield and Michael J. Wingfield",2004,Studies in Mycology 50:119–142,1
"sim50_014-Coronatomyces_cubensis_gen._et_sp._nov.,_a_new_ascomycete_from_Cuban_soil.pdf"," Coronatomyces cubensis gen. et sp. nov., a new ascomycete from Cuban soil"," Dania García, Alberto M. Stchigel, José Cano and Josep Guarro",2004,Studies in Mycology 50:143–148,1
"sim50_015-Hormonema_carpetanum_sp._nov.,_a_new_lineage_of_dothideaceous_black_yeasts_from_Spain.pdf"," Hormonema carpetanum sp. nov.,a new lineage of dothideaceous black yeasts from Spain"," Gerald F. Bills, Javier Collado, Constantino Ruibal, Fernando Peláez and Gonzalo Platas",2004,Studies in Mycology 50:149–157,1
sim50_016-Three_new_species_of_Oidiodendron_Robak_from_Spain.pdf, Three new species of Oidiodendron Robak from Spain," Misericordia Calduch, Josepa Gené, José Cano, Alberto M. Stchigel & Josep Guarro",2004,Studies in Mycology 50:159–170,1
sim50_017-Four_new_species_of_Chaetosphaeria_from_New_Zealand_and_redescription_of_Dictyochaeta_fuegiana.pdf, Four new species of Chaetosphaeria from New Zealand and redescription of Dictyochaeta fuegiana, Martina Réblová,2004,Studies in Mycology 50:171–186,1
"sim50_018-Prosopidicola_mexicana_gen._et._sp._nov.,_causing_a_new_pod_disease_of_Prosopis_species.pdf"," Prosopidicola mexicana gen. et. sp. nov., causing a new pod disease of Prosopis species"," Cheryl L. Lennox, Maryna Serdani,Johannes Z. Groenewald and Pedro W. Crous",2004,Studies in Mycology 50:187–194,1
sim50_019-Phylogenetic_reassessment_of_Mycosphaerella_spp._and_their_anamorphs_occurring_on_Eucalyptus.pdf, Phylogenetic reassessment of Mycosphaerella spp. and their anamorphs occurring on Eucalyptus," Pedro W. Crous, Johannes Z. Groenewald, J. Pedro Mansilla, Gavin C. Hunter and Michael J. Wing-field",2004,Studies in Mycology 50:195–214,1
sim50_020-Two_new_species_of_Chaetomidium_(Sordariales).pdf, Two new species of Chaetomidium (Sordariales)," Alberto M. Stchigel, Josep Guarro, Victoria Jato and María J. Aira",2004,Studies in Mycology 50:215–220,1
"sim50_021-Spirosphaera_cupreorufescens_sp._nov.,_a_rare_aeroaquatic_fungus.pdf"," Spirosphaera cupreorufescens sp. nov., a rare aeroaquatic fungus", Hermann Voglmayr,2004,Studies in Mycology 50:221–228,1
sim50_022-Hapalocystis_occidentalis_-_a_new_species_of_Diaporthales_from_North_America_and_a_key_to_the_species_of_Hapalocystis.pdf, Hapalocystis occidentalis - a new species of Diaporthales from North America and a key to the species of Hapalocystis, Walter M. Jaklitsch and Hermann Voglmayr,2004,Studies in Mycology 50:229–234,1
"sim50_023-Phylogenetic_reassessment_of_the_coelomycete_genus_Harknessia_and_its_teleomorph_Wuestneia_(Diaporthales),_and_the_introduction_of_Apoharknessia_gen._nov..pdf"," Phylogenetic reassessment of the coelomycete genus Harknessia and its teleomorph Wuestneia (Diaporthales), and the introduction of Apoharknessia gen. nov."," Seonju Lee, Johannes Z. Groenewald and Pedro W. Crous",2004,Studies in Mycology 50:235–252,1
"sim50_024-Emarcea_castanopsidicola_gen._et_sp._nov._from_Thailand,_a_new_xylariaceous_taxon_based_on_morphology_and_DNA_sequences.pdf"," Emarcea castanopsidicola gen. et sp. nov. from Thailand, a new xylariaceous taxon based on morphology and DNA sequences"," Lam. M. Duong, Saisamorn Lumyong, Kevin D. Hyde, and Rajesh Jeewon",2004,Studies in Mycology 50:253–260,1
"sim50_025-Gibberella_gaditjirrii_(Fusarium_gaditjirrii)_sp._nov.,_a_new_species_from_tropical_grasses_in_Australia.pdf"," Gibberellagaditjirrii (Fusariumgaditjirrii) sp. nov., a new species from tropical grasses in Australia"," Hien T. Phan, Lester W. Burgess, Brett A. Summerell, Suzanne Bullock, Edward C.Y. Liew, Jillian L. Smith-White and John R. Clarkson",2004,Studies in Mycology 50:261–272,1
"sim50_026-Ceratocystis_polychroma_sp._nov.,_a_new_species_from_Syzygium_aromaticum_in_Sulawesi.pdf"," Ceratocystis polychroma sp. nov.,a new species from Syzygium aromaticum in Sulawesi"," Marelize van Wyk, Jolanda Roux, Irene Barnes, Brenda D. Wingfield, Edward C.Y. Liew, B. Assa,Brett A. Summerell and Michael J. Wingfield",2004,Studies in Mycology 50:273–282,1
"sim50_027-A_new_Acremonium_species_associated_with_Fucus_spp.,_and_its_affinity_with_a_phylogenetically_distinct_marine_Emericellopsis_clade.pdf"," A new Acremonium species associated with Fucus spp., and its affinity with a phylogenetically distinct marine Emericellopsis clade"," Alga Zuccaro, Richard C. Summerbell, Walter Gams, Hans-Josef Schroers and Julian I. Mitchell",2004,Studies in Mycology 50:283–297,1
"sim50_028-New_and_interesting_species_of_Monascus_from_soil,_with_a_key_to_the_known_species.pdf"," New and interesting species of Monascus from soil, with a key to the known species"," Alberto M. Stchigel, José F. Cano, Samir K. Abdullah and Josep Guarro",2004,Studies in Mycology 50:299–306,1
sim50_029-Two_new_ascomycetes_with_long_gelatinous_appendages_collected_from_monocots_in_the_tropics.pdf, Two new ascomycetes with long gelatinous appendages collected from monocots in the tropics, André Aptroot,2004,Studies in Mycology 50:307–311,1
"sim50_030-Lasiodiplodia_gonubiensis_sp._nov.,_a_new_Botryosphaeria_anamorph_from_native_Syzygium_cordatum_in_South_Africa.pdf"," Lasiodiplodiagonubiensis sp. nov., a new Botryosphaeria anamorph from native Syzygium cordatum inSouth Africa"," Draginja Pavlic, Bernard Slippers, Teresa A. Coutinho, Marieka Gryzenhout and Michael J. Wingfield",2004,Studies in Mycology 50:313–322,1
"sim50_031-Paraconiothyrium,_a_new_genus_to_accommodate_the_mycoparasite_Coniothyrium_minitans,_anamorphs_of_Paraphaeosphaeria,_and_four_new_species.pdf"," Paraconiothyrium, a new genus to accommodate the mycoparasite Coniothyrium minitans, anamorphs of Paraphaeosphaeria,and four new species"," Gerard J.M. Verkley, Manuela da Silva, Donald T. Wicklow and Pedro W. Crous",2004,Studies in Mycology 50:323–335,1
"sim50_032-Helicomyxa_everhartioides,_a_new_helicosporous_sporodochial_hyphomycete_from_Taiwan_with_relationships_to_the_Hyaloriaceae_(Auriculariales,_Basidiomycota).pdf"," Helicomyxa everhartioides, a new helicosporous sporodochial hyphomy-cete from Taiwan with relationships to the Hyaloriaceae (Auriculariales, Basidiomycota)", Roland Kirschnerand Chee-Jen Chen,2004,Studies in Mycology 50:337–342,1
sim50_033-Speciation_and_distribution_of_Botryosphaeria_spp._on_native_and_introduced_Eucalyptus_trees_in_Australia_and_South_Africa.pdf, Speciation and distribution of Botryosphaeria spp. on native and introduced Eucalyptus trees in Australia and South Africa," Bernard Slippers, Gerda Fourie, Pedro W. Crous, Teresa A. Coutinho, Brenda D. Wingfield, Angus J. Carnegie and Michael J. Wingfield",2004,Studies in Mycology 50:343–358,1
"sim50_034-Lachancea_meyersii_sp._nov.,_an_ascosporogenous_yeast_from_mangrove_regions_in_the_Bahama_Islands.pdf"," Lachancea meyersii sp. nov., an ascosporogenous yeast from mangrove regions in the Bahama Islands"," Jack W. Fell, Adele Statzell-Tallman and Cletus P. Kurtzman",2004,Studies in Mycology 50:359–363,1
"sim50_035-Ceratocystis_bhutanensis_sp._nov.,_associated_with_the_bark_beetle_Ips_schmutzenhoferi_on_Picea_spinulosa_in_Bhutan.pdf"," Ceratocystis bhutanensis sp. nov., associated with the bark beetle Ips schmutzenhoferi on Picea spinulosa in Bhutan"," Marelize van Wyk, Jolanda Roux, Irene Barnes, Brenda D. Wingfield, Dal Bahadur Chhetri, Thomas Kirisits and Michael J. Wingfield",2004,Studies in Mycology 50:365–379,1
"sim50_036-Flammispora_gen._nov.,_a_new_freshwater_ascomycete_from_decaying_palm_leaves.pdf"," Flammispora gen. nov., a new freshwater ascomycete from decaying palm leaves"," Umpava Pinruan, Jariya Sakayaroj, E.B. Gareth Jones and Kevin D. Hyde",2004,Studies in Mycology 50:381–386,1
"sim50_037-Pleurostomophora,_an_anamorph_of_Pleurostoma_(Calosphaeriales),_a_new_anamorph_genus_morphologically_similar_to_Phialophora.pdf"," Pleurostomophora, an anamorph of Pleurostoma (Calosphaeriales), a new anamorph genus morphologically similar to Phialophora"," Dhanasekaran Vijaykrishna, Lizel Mostert, Rajesh Jeewon, Walter Gams, Kevin D. Hyde and Pedro W. Crous",2004,Studies in Mycology 50:387–395,1
"sim50_038-Tetrapisispora_fleetii_sp._nov.,_a_new_member_of_the_Saccharomycetaceae.pdf"," Tetrapisispora fleetii sp. nov., a new member of the Saccharomycetaceae"," Cletus P. Kurtzman, Adele Statzell-Tallman and Jack W. Fell",2004,Studies in Mycology 50:397–400,1
"sim50_039-Hypocrea_flaviconidia,_a_new_species_from_Costa_Rica_with_yellow_conidia.pdf"," Hypocrea flaviconidia, a new species from Costa Rica with yellow conidia"," Irina S. Druzhinina, Priscila Chaverri, Payam Fallah, Christian P. Kubicek and Gary J. Samuels",2004,Studies in Mycology 50:401–407,1
"sim50_040-Acremonium_exuviarum_sp._nov.,_a_lizard-associated_fungus_with_affinity_to_Emericellopsis.pdf"," Acremonium exuviarum sp. nov., a lizard-associated fungus with affinity to Emericellopsis"," Lynne Sigler, Alga Zuccaro, Richard C. Summerbell, Julian Mitchell and Jean A. Paré",2004,Studies in Mycology 50:409–413,1
sim50_041-Calonectria_species_and_their_Cylindrocladium_anamorphs_species_with_sphaeropedunculate_vesicles.pdf, Calonectria species and their Cylindrocladium anamorphs: species with sphaeropedunculate vesicles," Pedro W. Crous, Johannes Z. Groenewald, Jean-Michel Risède,Philippe Simoneau and Nigel L. Hywel-Jones",2004,Studies in Mycology 50:415–430,1
sim50_042-Novel_species_of_Cylindrocarpon_(Neonectria)_and_Campylocarpon_gen._nov._associated_with_black_foot_disease_of_grapevines_(Vitis_spp.).pdf, Novel species of Cylindrocarpon (Neonectria) and Campylocarpon gen. nov.associated with black foot disease of grapevines (Vitis spp.)," Francois Halleen, Hans-Josef Schroers, Johannes Z. Groenewald and Pedro W. Crous",2004,Studies in Mycology 50:431–455,1
sim50_043-Cryptic_speciation_and_host_specificity_among_Mycosphaerella_spp.occurring_on_Australian_Acacia_species_grown_as_exotics_in_the_tropics.pdf, Cryptic speciation and host specificity among Mycosphaerella spp. occurring on Australian Acacia species grown as exotics in the tropics," Pedro W. Crous, Johannes Z. Groenewald, Krisna Pongpanich, Winanda Himaman, Mahdi Arzanlou, Michael J. Wingfield",2004,Studies in Mycology 50:457–469,1
"sim50_044-Passalora_perplexa,_an_important_pleoanamorphic_leaf_blight_pathogen_of_Acacia_crassicarpa_in_Australia_and_Indonesia.pdf"," Passaloraperplexa, an important pleoanamorphic leaf blight pathogen of Acacia crassicarpa in Australia and Indonesia"," Vyrna C. Beilharz, Ian G. Pascoe, Michael J. Wingfield, Budi Tjahjono and Pedro W. Crous",2004,Studies in Mycology 50:471–479,1
sim50_045-New_species_of_Pythium_and_Phytophthora.pdf, New species of Pythium and Phytophthora, Arthur W.A.M. de Cock and C. André Lévesque,2004,Studies in Mycology 50:481–487,1
sim50_046-Ribosomal_gene_phylogeny_and_species_delimitation_in_Geotrichum_and_its_teleomorphs.pdf, Ribosomal gene phylogeny and species delimitation in Geotrichum and its teleomorphs," G. Sybren de Hoog, and Maudy Th. Smith",2004,Studies in Mycology 50:489–515,1
"sim50_047-Penicillium_cecidicola,_a_new_species_on_cynipid_insect_galls_on_Quercus_pacifica_in_the_western_United_States.pdf"," Penicillium cecidicola, a new species on cynipid insect galls on Quercus pacifica in the western United States"," Keith A. Seifert, Ellen S. Hoekstra, Jens C. Frisvad and Gerry Louis-Seize",2004,Studies in Mycology 50:517–523,1
sim50_048-Mating_patterns_and_ITS_sequences_distinguish_the_sclerotial_species_Arachnomyces_glareosus_sp._nov._and_Onychocola_sclerotica.pdf, Mating patterns and ITS sequences distinguish the sclerotial species Arachnomyces glareosus sp. nov. and Onychocola sclerotica," Connie Fe C. Gibas, Lynne Sigler and Randolph S. Currah",2004,Studies in Mycology 50:525–531,1
"sim50_049-New_genera_in_the_Calosphaeriales_Togniniella_and_its_anamorph_Phaeocrella,_and_Calosphaeriophora_as_anamorph_of_Calosphaeria.pdf"," New genera in the Calosphaeriales: Togniniella and its anamorph Phaeocrella, and Calosphaeriophora as anamorph of Calosphaeria"," Martina Réblová, Lizel Mostert, Walter Gams and Pedro W. Crous",2004,Studies in Mycology 50:533–550,1
"sim50_050-Multigene_phylogenies_reveal_that_red_band_needle_blight_of_Pinus_is_caused_by_two_distinct_species_of_Dothistroma,_D._septosporum_and_D._pini.pdf"," Multigene phylogenies reveal that red band needle blight of Pinus is caused by two distinct species of Dothistroma, D. septosporum and D. pini"," Irene Barnes, Pedro W. Crous, Brenda D. Wingfield and Michael J. Wingfield",2004,Studies in Mycology 50:551–565,1
"sim50_051-A_new_species_of_Mortierella,_and_an_associated_sporangiiferous_mycoparasite_in_a_new_genus,_Nothadelphia.pdf"," A new species of Mortierella, and an associated sporangiiferous mycoparasite in a new genus, Nothadelphia", Yousuke Degawa and Walter Gams,2004,Studies in Mycology 50:567–572,1
"sim51_01_Fungi_at_the_edge_of_life,_cryptoendolithic_black_fungi_from_Antarctic_desert.pdf", Fungi at the edge of life: cryptoendolithic black fungi from Antarctic desert," L. Selbmann, G.S. de Hoog, A. Mazzaglia, E.I. Friedmann and S. Onofri",2005,Studies in Mycology 51:1–32,1
"sim51_02_Evolution,_taxonomy_and_ecology_of_the_genus_Thelebolus_in_Antarctica.pdf"," Evolution, taxonomy and ecology of the genus Thelebolus in Antarctica"," G.S. de Hoog, E. Göttlich, G. Platas, O. Genilloud, G. Leotta and J. van Brummelen",2005,Studies in Mycology 51:33–76,1
SIM52_2005.pdf," Phylogenetic relationships and morphology of Cytospora species and related teleomorphs (Ascomycota,   Diaporthales, Valsaceae) from Eucalyptus",,2005,Studies in Mycology 52,1
"sim53_01_Meliniomyces,_a_new_anamorph_genus_for_root-associated_fungi_with_phylogenetic_affinities_to_Rhizoscyphus_ericae_(=Hymenoscyphus_ericae),_Leotiomycetes.pdf"," Meliniomyces, a new anamorph genus for root-associated fungi with phylogenetic affinities to Rhizoscyphus ericae (? Hymenoscyphus ericae), Leotiomycetes", Sarah Hambleton and Lynne Sigler,2005,Studies in Mycology 53: 1–27,1
"sim53_02_Leohumicola,_a_new_genus_of_heat-resistant_hyphomycetes.pdf","Leohumicola, a new genus of heat-resistant hyphomycetes","Sarah Hambleton, Nancy L. Nickerson, and Keith A. Seifert",2005,Studies in Mycology 53: 29-52,1
sim53_03_Two_new_Cryptosporiopsis_species_from_roots_of_ericaceous_hosts_in_western_North_America.pdf, Two new Cryptosporiopsis species from roots of ericaceous hosts in western North America," Lynne Sigler, Tamara Allan, Sea Ra Lim, Shannon Berch and Mary Berbee",2005,Studies in Mycology 53: 53–62,1
sim53_04_Utility_of_a_cultural_method_for_identification_of_the_ericoid_mycobiont_Oidiodendron_maius_confirmed_by_ITS_sequence_analysis.pdf, Utility of a cultural method for identification of the ericoid mycobiont Oidiodendron maius confirmed by ITS sequence analysis, Lynne Sigler and Connie Fe C. Gibas,2005,Studies in Mycology 53: 63–74,1
sim53_05_Profiles_from_Biolog_FF_plates_and_morphological_characteristics_support_the_recognition_of_Oidiodendron_fimicola_sp._nov..pdf, Profiles from Biolog FF plates and morphological characteristics support the recognition of Oidiodendron fimicola sp. nov., Adrianne V. Rice and Randolph S. Currah,2005,Studies in Mycology 53: 75–82,1
"sim53_06_Oidiodendron,_A_survey_of_the_named_species_and_related_anamorphs_of_Myxotrichum.pdf", Oidiodendron: A survey of the named species and related anamorphs of Myxotrichum, Adrianne V. Rice and Randolph S. Currah,2005,Studies in Mycology 53: 83–120,1
"sim53_07_Root_endophyte_and_mycorrhizosphere_fungi_of_black_spruce,_Picea_mariana,_in_a_boreal_forest_habitat,_influence_of_site_factors_on_fungal_distributions.pdf"," Root endophyte and mycorrhizosphere fungi of black spruce, Picea mariana, in a boreal forest habitat:influence of site factors on fungal distributions", Richard C. Summerbell,2005,Studies in Mycology 53: 121–145,1
"sim53_08_Diversity_of_symbiotic_root_endophytes_of_the_Helotiales_in_ericaceous_plants_and_the_grass,_Deschampsia_flexuosa.pdf"," Diversity of symbiotic root endophytes of the Helotiales in ericaceous plants and the grass, Deschampsia flexuosa"," Jantineke D. Zijlstra, Pieter Van ’t Hof, Jacqueline Baar, Gerard J.M. Verkley, Richard C. Summerbell, Istvan Paradi, Wim G. Braakhekke and Frank Berendse",2005,Studies in Mycology 53: 147–162,1
"sim53_09_Protocorm_mycobionts_of_the_Federally_threatened_eastern_prairie_finged_orchid,_Platanthera_leucophea_(Nutt.)_Lindley,_and_a_technique_to_prompt_leaf_elongation_in_seedlings.pdf"," Protocorm mycobionts of the Federally threatened eastern prairie fringed orchid, Platanthera leucophaea (Nutt.) Lindley, and a technique to prompt leaf elongation in seedlings"," Lawrence W. Zettler, Kurt A. Piskin, Scott L. Stewart, Jared J. Hartsock, Marlin L. Bowles and Timothy J. Bell,",2005,Studies in Mycology 53: 163–171,1
sim53_10_Seeking_the_elusive_function_of_the_root-colonising_dark_septate_endophytic_fungi.pdf, Seeking the elusive function of the root-colonising dark septate endophytic fungi, Keerthi Mandyam and Ari Jumpponen,2005,Studies in Mycology 53: 173–189,1
"sim53_11_From_Lamarckian_fertilizers_to_fungal_castles,_recapturing_the_pre-19856_literature_on_endophytic_and_saprotrophic_fungi_associated_with_ectomycorrhizal_root_systems.pdf", From Lamarckian fertilizers to fungal castles: recapturing the pre-1985 literature on endophytic and saprotrophic fungi associated with ectomycorrhizal root systems, Richard C. Summerbell,2005,Studies in Mycology 53: 191–256,1
sim54_01_Taxonomy_and_Pathology_of_Togninia_(Diaporthales)_and_its_Phaeoacremonium_Anamorphs.pdf,Taxonomy and Pathology of Togninia (Diaporthales) and its Phaeoacremonium Anamorphs,"Lizel Mostert, Johannes Z. Groenewald, Richard C. Summerbell, Walter Gams, Pedro W. Crous",2006,"Studies in Mycology 54, 2006, Pages 1-113",1
"sim55_01_The_South_African_National_Collection_of_Fungi,_celebrating_a_centenary_1905-2005.pdf", The South African National Collection of Fungi: celebrating a centenary 1905-2005, Isabella H. Rong and Alice P. Baxter,2006,Studies in Mycology 55: 1–12,1
sim55_02_How_many_species_of_fungi_are_there_at_the_tip_of_Africa.pdf, How many species of fungi are there at the tip of Africa?," Pedro W. Crous, Isabella H. Rong, Alan Wood, Seonju Lee, Hugh Glen, Wilhelm Botha, Bernard Slippers, Wilhelm Z. de Beer, Michael J.Wingfi eldand David L. Hawksworth",2006,Studies in Mycology 55: 13–33,1
"sim55_03_Microthia,_Holocryphia_and_Ursicollum,_three_new_genera_on_Eucalyptus_and_Coccoloba_for_fungi_previously_known_as_Cryphonectria.pdf"," Microthia, Holocryphia and Ursicollum, three new genera on Eucalyptus and Coccoloba for fungi previously known as Cryphonectria"," Marieka Gryzenhout, Henrietta Myburg, Charles S. Hodges, Brenda D. Wingfield and Michael J. Wingfield",2006,Studies in Mycology 55: 35–52,1
"sim55_04_Eucalyptus_microfungi_known_from_culture._1._Cladoriella_and_Fulvoflamma_genera_nova,_with_notes_on_some_other_poorly_known_taxa.pdf"," Eucalyptus microfungi known from culture. 1. Cladoriella and Fulvoflamma genera nova, with notes on some other poorly known taxa"," Pedro W. Crous, Gerard J.M. Verkley and Johannes Z. Groenewald",2006,Studies in Mycology 55: 53–63,1
sim55_05_Characterisation_of_Phomopsis_spp._associated_with_die-back_of_rooibos_(Aspalathus_linearis)_in_South_Africa.pdf, Characterisation of Phomopsis spp. associated with die-back of rooibos (Aspalathuslinearis) in South Africa," Johan C. Janse van Rensburg, Sandra C. Lamprecht, Johannes Z. Groenewald, Lisa A. Castlebury and Pedro W. Crous",2006,Studies in Mycology 55: 65–74,1
sim55_06_Multi-gene_phylogenies_define_Ceratocystiopsis_and_Grosmannia_distinct_from_Ophiostoma.pdf, Multi-gene phylogenies define Ceratocystiopsis and Grosmannia distinct from Ophiostoma," Renate D. Zipfel, Z. Wilhelm de Beer, Karin Jacobs, Brenda D. Wingfield and Michael J. Wingfield",2006,Studies in Mycology 55: 75–97,1
sim55_07_Phylogenetic_reassessment_of_Mycosphaerella_spp._and_their_anamorphs_occurring_on_Eucalyptus._II..pdf, Phylogenetic reassessment of Mycosphaerella spp. and their anamorphs occurring on Eucalyptus. II.," Pedro W. Crous, Michael J. Wingfield, J. Pedro Mansilla, Acelino C. Alfenas and Johannes Z. Groenewald",2006,Studies in Mycology 55: 99–131,1
sim55_08_Multi-gene_phylogenies_and_phenotypic_characters_distinguish_two_species_within_the_Colletogloeopsis_zuluensis_complex_associated_with_Eucalyptus_stem_cankers.pdf, Multi-gene phylogenies and phenotypic characters distinguish two species within the Colletogloeopsiszuluensis complex associated with Eucalyptus stem cankers," Maria-Noel Cortinas, Pedro W. Crous, Brenda D. Wingfield and Michael J. Wingfield",2006,Studies in Mycology 55: 133–146,1
sim55_09_A_multi-gene_phylogeny_for_species_of_Mycosphaerella_occurring_on_Eucalyptus_leaves.pdf, A multi-gene phylogeny for species of Mycosphaerella occurring on Eucalyptus leaves," Gavin C. Hunter, Brenda D. Wingfield, Pedro W. Crous and Michael J. Wingfield",2006,Studies in Mycology 55: 147–161,1
"sim55_10_Re-evaluating_the_taxonomic_status_of_Phaeoisariopsis_griseola,_the_causal_agent_of_angular_leaf_spot_of_bean.pdf"," Re-evaluating the taxonomic status of Phaeoisariopsisgriseola, the causal agent of angular leaf spot of bean"," Pedro W. Crous, Merion M. Liebenberg, Uwe Braun and Johannes Z. Groenewald",2006,Studies in Mycology 55: 163–173,1
sim55_11_Pestalotioid_fungi_from_Restionaceae_in_the_Cape_Floral_Kingdom.pdf, Pestalotioid fungi from Restionaceae in the Cape Floral Kingdom," Seonju Lee, Pedro W. Crous and Michael J. Wingfield",2006,Studies in Mycology 55: 175–187,1
sim55_12_Species_of_Cercaspora_associated_with_grey_leaf_spot_of_maize.pdf, Species of Cercospora associated with grey leaf spot of maize," Pedro W. Crous, Johannes Z. Groenewald, Marizeth Groenewald, Pat Caldwell, Uwe Braun and Thomas C. Harrington",2006,Studies in Mycology 55: 189–197,1
sim55_13_Multi-gene_phylogeny_for_Ophiostoma_spp._reveals_two_new_species_from_Protea_infructescences.pdf, Multi-gene phylogeny for Ophiostoma spp. reveals two new species from Protea infructescences," Francois Roets, Z. Wilhelm de Beer, Léanne L. Dreyer, Renate Zipfel, Pedro W. Crous and Michael J. Wingfield",2006,Studies in Mycology 55: 199–212,1
